objectId,aimage,aimagerat,bimage,bimagerat,candid,chinr,chipsf,classtar,dec,decnr,diffmaglim,distnr,distpsnr1,distpsnr2,distpsnr3,elong,fid,field,fwhm,isdiffpos,jd,jdendhist,jdendref,jdstarthist,jdstartref,magap,magapbig,magdiff,magfromlim,magnr,magpsf,mindtoedge,nbad,ncovhist,ndethist,nframesref,nid,nmtchps,nneg,objectidps1,objectidps2,objectidps3,pdiffimfilename,pid,programid,programpi,ra,ranr,rb,rcid,rfid,scorr,seeratio,sgmag1,sgmag2,sgmag3,sgscore1,sgscore2,sgscore3,sharpnr,sigmagap,sigmagapbig,sigmagnr,sigmapsf,simag1,simag2,simag3,sky,srmag1,srmag2,srmag3,ssdistnr,ssmagnr,ssnamenr,sumrat,szmag1,szmag2,szmag3,tblid,tooflag,xpos,ypos,filefracday,filefracday
ZTF18aatcypw,1.5049999952316284,1.052101492881775,1.350000023841858,0.9437455534934998,495150870615015008,0.6830000281333923,1.3148940801620483,0.7979999780654907,-20.7621082,-20.7609273,18.64807891845703,6.934779167175293,14.93066692352295,28.961530685424805,29.04889488220215,1.1148147583007812,2,314,1.43047034740448,t,2458249.6508796,2458249.6508796,2458226.645463,2458249.6508796,2458218.693866,17.783000946044922,17.32539939880371,-0.7834699749946594,0.8650785684585571,22.666000366210938,18.566469192504883,30.375099182128906,0,2,1,20,495,3,2,83081431110289490,83081431156771741,83081431007820370,ztf_20180511150625_000314_zr_c02_o_q3_scimrefdiffimg.fits,495150870615,1,Kulkarni,143.1079235,143.1062577,0.07666666805744171,6,314120206,5.32972764968872,2.0,21.74920082092285,-999.0,-999.0,0.9910420179367065,0.9158689975738525,0.9839169979095459,-0.37299999594688416,0.15320000052452087,0.12919999659061432,0.32199999690055847,0.19474613666534424,20.577800750732422,20.856399536132812,20.53809928894043,11.82682991027832,21.37689971923828,21.61840057373047,21.506900787353516,-999.0,-999.0,null,1.0,20.05139923095703,20.27440071105957,19.94260025024414,8,0,3042.125,3020.346923828125,20180511150625,20180511150625
ZTF18aaluree,0.8859999775886536,0.1344461292028427,0.7950000166893005,0.12063732743263245,493214281115015003,2.0160000324249268,20.264497756958008,0.9829999804496765,-20.752282,-20.7521833,20.012985229492188,0.3656896948814392,0.24035316705703735,11.214378356933594,16.79320526123047,1.114465355873108,2,315,6.590000152587891,t,2458247.7142824,2458247.7142824,2458226.653704,2458229.6881829,2458218.720417,17.005800247192383,16.8843994140625,-0.011190694756805897,3.0071849822998047,16.54800033569336,17.016990661621094,89.28910064697266,0,4,2,18,493,8,2,83091496511687662,83091496497304186,83101496502333066,ztf_20180509214282_000315_zr_c03_o_q4_scimrefdiffimg.fits,493214281115,1,Kulkarni,149.6511624,149.6511314,0.5433333516120911,11,315120211,10.8850040435791,0.3885255753993988,16.977800369262695,-999.0,21.42099952697754,0.9825599789619446,0.5,0.0032500000670552254,-0.017999999225139618,0.01860000006854534,0.02969999983906746,0.024000000208616257,0.015471144579350948,15.8818998336792,17.527700424194336,20.471200942993164,-0.24359449744224548,16.006099700927734,17.71489906311035,20.803499221801758,-999.0,-999.0,null,0.9871254563331604,15.834099769592285,-999.0,20.327199935913086,3,0,1142.284912109375,2991.2109375,20180509214282,20180509214282
ZTF18aatcypl,2.0869998931884766,1.4589606523513794,2.0369999408721924,1.4240071773529053,495150870615015009,0.5540000200271606,1.6534340381622314,0.6880000233650208,-20.7496198,-20.7497306,18.64807891845703,7.688626766204834,28.252981185913086,28.442745208740234,28.691808700561523,1.0245459079742432,2,314,1.43047034740448,t,2458249.6508796,2458249.6508796,2458226.645463,2458249.6508796,2458218.693866,17.486099243164062,17.074199676513672,-0.9934793710708618,1.1619786024093628,22.757999420166016,18.47957992553711,13.368200302124023,0,2,1,20,495,4,7,83091431099975768,83091430969193882,83101430944903121,ztf_20180511150625_000314_zr_c02_o_q3_scimrefdiffimg.fits,495150870615,1,Kulkarni,143.1027884,143.1050895,0.07666666805744171,6,314120206,5.4365062713623,2.0,-999.0,-999.0,21.355199813842773,0.0024999999441206455,0.8534169793128967,0.9877709746360779,-0.34200000762939453,0.11699999868869781,0.10279999673366547,0.3160000145435333,0.17988041043281555,20.70359992980957,20.981800079345703,19.41069984436035,12.72506046295166,21.13920021057129,-999.0,20.169599533081055,-999.0,-999.0,null,0.8884806632995605,20.347700119018555,20.574600219726562,19.082300186157227,9,0,3059.1318359375,2975.930419921875,20180511150625,20180511150625
ZTF18aaqpihm,0.9819999933242798,0.2896755039691925,0.5879999995231628,0.17345133423805237,490152230615010039,0.8700000047683716,2.318847179412842,0.9480000138282776,-20.7486271,-20.7467994,19.766407012939453,6.508568286895752,11.506657600402832,13.614734649658203,15.619146347045898,1.6700680255889893,2,315,3.390000104904175,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,19.728200912475586,19.912200927734375,-0.2720382809638977,0.03820747137069702,21.891000747680664,20.0002384185791,117.3832015991211,0,3,1,18,490,7,4,83101502931231722,83101502892046406,83091502893586856,ztf_20180506152211_000315_zr_c02_o_q3_scimrefdiffimg.fits,490152230615,1,Kulkarni,150.2896854,150.2895772,0.18666666746139526,6,315120206,7.27113103866577,0.850422203540802,13.726799964904785,21.059099197387695,-999.0,0.9933329820632935,0.8961039781570435,0.0024999999441206455,-0.02800000086426735,0.188400000333786,0.5047000050544739,0.20499999821186066,0.13678991794586182,12.604000091552734,20.611400604248047,21.312299728393555,1.7609050273895264,13.026000022888184,20.675899505615234,21.552200317382812,-999.0,-999.0,null,0.9973328113555908,12.350000381469727,20.54990005493164,-999.0,39,0,2534.160888671875,2963.11669921875,20180506152211,20180506152211
ZTF18aarybis,0.9449999928474426,0.7304702401161194,0.7670000195503235,0.5928789973258972,493214280615015009,1.6920000314712524,2.7612388134002686,0.7570000290870667,-20.7459251,-20.7462945,20.036203384399414,2.185439348220825,2.5638842582702637,7.324977874755859,8.460602760314941,1.2320730686187744,2,315,1.2936872243881226,t,2458247.7142824,2458247.7142824,2458226.653704,2458247.7142824,2458218.720417,19.862699508666992,14.984000205993652,-0.5409433245658875,0.17350319027900696,20.30299949645996,20.403642654418945,104.08570098876953,0,4,1,18,493,8,5,83101508143924641,83101508160766043,83101508149297803,ztf_20180509214282_000315_zr_c02_o_q3_scimrefdiffimg.fits,493214280615,1,Kulkarni,150.8138801,150.8144055,0.10000000149011612,6,315120206,5.28910970687866,2.0,-999.0,-999.0,13.972200393676758,0.1470710039138794,0.5,0.9649379849433899,0.10700000077486038,0.1882999986410141,0.007600000128149986,0.07599999755620956,0.15795600414276123,19.84119987487793,18.98270034790039,12.329000473022461,1.6613240242004395,-999.0,19.83329963684082,13.14900016784668,-999.0,-999.0,null,0.8645129203796387,19.291400909423828,-999.0,11.758000373840332,9,0,791.580810546875,2976.414306640625,20180509214282,20180509214282
ZTF18aarybhr,0.7110000252723694,0.5495918989181519,0.6669999957084656,0.5155805945396423,493214280615015011,0.421999990940094,475.16619873046875,0.9990000128746033,-20.7438193,-20.7437416,20.036203384399414,0.31343400478363037,0.24259383976459503,6.091845989227295,9.689383506774902,1.0659669637680054,2,315,1.2936872243881226,t,2458247.7142824,2458247.7142824,2458226.653704,2458247.7142824,2458218.720417,14.178600311279297,14.125699996948242,-0.010178986005485058,5.857603073120117,12.699999809265137,14.1887788772583,111.55039978027344,0,4,1,18,493,6,0,83101508149297803,83101508160766043,83101508143924641,ztf_20180509214282_000315_zr_c02_o_q3_scimrefdiffimg.fits,493214280615,1,Kulkarni,150.8148472,150.814892,0.5600000023841858,6,315120206,6.94480228424072,2.0,13.972200393676758,-999.0,-999.0,0.9649379849433899,0.5,0.1470710039138794,-0.00800000037997961,0.004600000102072954,0.004800000227987766,0.009999999776482582,0.005267283413559198,12.329000473022461,18.98270034790039,19.84119987487793,1.9556610584259033,13.14900016784668,19.83329963684082,-999.0,-999.0,-999.0,null,1.0,11.758000373840332,-999.0,19.291400909423828,11,0,788.326416015625,2968.94970703125,20180509214282,20180509214282
ZTF18aarybhy,0.875,0.3444882035255432,0.7749999761581421,0.3051181137561798,493214280615015010,0.421999990940094,10.683686256408691,0.9760000109672546,-20.7436674,-20.7437416,20.036203384399414,7.462064266204834,7.605895519256592,11.638051986694336,12.266032218933105,1.1290322542190552,2,315,2.5399999618530273,t,2458247.7142824,2458247.7142824,2458226.653704,2458247.7142824,2458218.720417,19.184600830078125,14.573399543762207,-0.08556881546974182,0.8516032099723816,12.699999809265137,19.27016830444336,112.13079833984375,0,4,1,18,493,7,6,83101508149297803,83101508143924641,83101508160766043,ztf_20180509214282_000315_zr_c02_o_q3_scimrefdiffimg.fits,493214280615,1,Kulkarni,150.8126492,150.814892,0.20000000298023224,6,315120206,10.2464542388916,1.0186513662338257,13.972200393676758,-999.0,-999.0,0.9649379849433899,0.1470710039138794,0.5,-0.00800000037997961,0.10409999638795853,0.006200000178068876,0.009999999776482582,0.05819558724761009,12.329000473022461,19.84119987487793,18.98270034790039,1.1966739892959595,13.14900016784668,-999.0,19.83329963684082,-999.0,-999.0,null,0.7662086486816406,11.758000373840332,19.291400909423828,-999.0,10,0,795.6318969726562,2968.369140625,20180509214282,20180509214282
ZTF18aalurvf,2.3940000534057617,0.13983644545078278,1.2319999933242798,0.0719626173377037,490152230715010039,12.895000457763672,135.53892517089844,0.8040000200271606,-20.7430884,-20.7430367,19.762048721313477,3.624842643737793,3.185725450515747,10.293449401855469,10.910237312316895,1.9431818723678589,2,315,17.1200008392334,f,2458244.6522338,2458244.6522338,2458226.653704,2458229.6881829,2458218.720417,17.100500106811523,16.46190071105957,-0.19107653200626373,2.6615493297576904,15.785999298095703,17.291576385498047,97.97090148925781,5,3,2,18,490,11,2,83101519071717577,83101519042408609,83101519036858725,ztf_20180506152211_000315_zr_c02_o_q4_scimrefdiffimg.fits,490152230715,1,Kulkarni,151.9070608,151.9059717,0.12999999523162842,7,315120207,50.0830268859863,0.16954325139522552,-999.0,-999.0,9.921290397644043,0.5,0.5,0.5,0.18799999356269836,0.018699999898672104,0.021700000390410423,0.10199999809265137,0.01314020249992609,18.95439910888672,14.121000289916992,13.20989990234375,1.0474590063095093,-999.0,-999.0,12.795299530029297,-999.0,-999.0,null,0.9827690124511719,19.255199432373047,-999.0,10.823599815368652,39,0,229.1529998779297,2982.529052734375,20180506152211,20180506152211
ZTF18aarybia,0.871999979019165,0.26424241065979004,0.7829999923706055,0.2372727245092392,493214280615015012,0.5339999794960022,19.798372268676758,0.7229999899864197,-20.7412605,-20.7412708,20.036203384399414,7.454462051391602,7.815669059753418,9.894078254699707,13.269987106323242,1.1136653423309326,2,315,3.299999952316284,t,2458247.7142824,2458247.7142824,2458226.653704,2458247.7142824,2458218.720417,19.311899185180664,17.787099838256836,-0.019274728372693062,0.7243031859397888,12.357999801635742,19.331174850463867,119.70590209960938,0,4,1,18,493,10,4,83111508662370723,83101508632807656,83111508635345256,ztf_20180509214282_000315_zr_c02_o_q3_scimrefdiffimg.fits,493214280615,1,Kulkarni,150.8638813,150.8661233,0.20333333313465118,6,315120206,9.68038082122803,0.784052848815918,13.13700008392334,-999.0,-999.0,0.5,0.08504170179367065,0.002749999985098839,0.012000000104308128,0.11800000071525574,0.12060000002384186,0.010999999940395355,0.06280354410409927,12.571000099182129,20.50819969177246,21.161800384521484,0.4583652913570404,12.770000457763672,-999.0,21.642799377441406,-999.0,-999.0,null,0.9543457627296448,12.397000312805176,20.245899200439453,20.760299682617188,12,0,625.2448120117188,2960.794189453125,20180509214282,20180509214282
ZTF18aaqpihf,1.2089999914169312,0.17028169333934784,0.8220000267028809,0.11577464640140533,490152230615010040,2.7260000705718994,4.722906589508057,0.7080000042915344,-20.741147,-20.7410946,19.766407012939453,7.681803226470947,10.165607452392578,11.227115631103516,13.046173095703125,1.470802903175354,2,315,7.099999904632568,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,19.336200714111328,19.58530044555664,-0.44003117084503174,0.4302074611186981,20.452999114990234,19.77623176574707,136.27760314941406,0,3,1,18,490,11,2,83101508632807656,83111508662370723,83111508635345256,ztf_20180506152211_000315_zr_c02_o_q3_scimrefdiffimg.fits,490152230615,1,Kulkarni,150.8628729,150.8605607,0.14000000059604645,6,315120206,8.83632946014404,0.40604665875434875,-999.0,13.13700008392334,-999.0,0.08504170179367065,0.5,0.002749999985098839,0.0820000022649765,0.13199999928474426,0.37549999356269836,0.11299999803304672,0.11290425062179565,20.50819969177246,12.571000099182129,21.161800384521484,2.399451971054077,-999.0,12.770000457763672,21.642799377441406,-999.0,-999.0,null,1.0,20.245899200439453,12.397000312805176,20.760299682617188,40,0,627.7904052734375,2944.222412109375,20180506152211,20180506152211
